service_number,unit_id,domain,observed_on,value_normalised,raw_kind
SYNTH-CRPF-01-631837,CRPF-01,deployment,2026-09-05,0.1738,days_deployed_away_from_station
SYNTH-CRPF-01-631837,CRPF-01,duty_roster,2026-09-05,0.4312,consecutive_duty_days
SYNTH-CRPF-01-631837,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-631837,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-631837,CRPF-01,workload,2026-09-05,0.3046,duty_hours_over_establishment
SYNTH-CRPF-01-583055,CRPF-01,leave,2026-09-05,0.4907,leave_denied_rate
SYNTH-CRPF-01-583055,CRPF-01,deployment,2026-09-05,0.1502,days_deployed_away_from_station
SYNTH-CRPF-01-583055,CRPF-01,duty_roster,2026-09-05,0.4557,consecutive_duty_days
SYNTH-CRPF-01-583055,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-583055,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-583055,CRPF-01,workload,2026-09-05,0.4185,duty_hours_over_establishment
SYNTH-CRPF-01-583055,CRPF-01,self_report,2026-09-05,0.4459,instrument_score_normalised
SYNTH-CRPF-01-800162,CRPF-01,leave,2026-09-05,0.6726,leave_denied_rate
SYNTH-CRPF-01-800162,CRPF-01,deployment,2026-09-05,0.2031,days_deployed_away_from_station
SYNTH-CRPF-01-800162,CRPF-01,duty_roster,2026-09-05,0.7403,consecutive_duty_days
SYNTH-CRPF-01-800162,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-800162,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-800162,CRPF-01,workload,2026-09-05,0.5931,duty_hours_over_establishment
SYNTH-CRPF-01-800162,CRPF-01,self_report,2026-09-05,0.2844,instrument_score_normalised
SYNTH-CRPF-01-473091,CRPF-01,leave,2026-09-05,0.6603,leave_denied_rate
SYNTH-CRPF-01-473091,CRPF-01,deployment,2026-09-05,0.2003,days_deployed_away_from_station
SYNTH-CRPF-01-473091,CRPF-01,duty_roster,2026-09-05,0.893,consecutive_duty_days
SYNTH-CRPF-01-473091,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-473091,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-473091,CRPF-01,workload,2026-09-05,0.633,duty_hours_over_establishment
SYNTH-CRPF-01-473091,CRPF-01,self_report,2026-09-05,0.7544,instrument_score_normalised
SYNTH-CRPF-01-473091,CRPF-01,biometric,2026-09-05,0.6258,resting_heart_rate_trend
SYNTH-CRPF-01-124771,CRPF-01,leave,2026-09-05,0.5975,leave_denied_rate
SYNTH-CRPF-01-124771,CRPF-01,deployment,2026-09-05,0.1174,days_deployed_away_from_station
SYNTH-CRPF-01-124771,CRPF-01,duty_roster,2026-09-05,0.5878,consecutive_duty_days
SYNTH-CRPF-01-124771,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-124771,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-124771,CRPF-01,workload,2026-09-05,0.3762,duty_hours_over_establishment
SYNTH-CRPF-01-124771,CRPF-01,biometric,2026-09-05,0.3985,resting_heart_rate_trend
SYNTH-CRPF-01-976873,CRPF-01,leave,2026-09-05,0.4205,leave_denied_rate
SYNTH-CRPF-01-976873,CRPF-01,deployment,2026-09-05,0.2016,days_deployed_away_from_station
SYNTH-CRPF-01-976873,CRPF-01,duty_roster,2026-09-05,0.455,consecutive_duty_days
SYNTH-CRPF-01-976873,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-976873,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-976873,CRPF-01,workload,2026-09-05,0.5098,duty_hours_over_establishment
SYNTH-CRPF-01-976873,CRPF-01,self_report,2026-09-05,0.1484,instrument_score_normalised
SYNTH-CRPF-01-976873,CRPF-01,biometric,2026-09-05,0.4369,resting_heart_rate_trend
SYNTH-CRPF-01-507676,CRPF-01,leave,2026-09-05,0.6095,leave_denied_rate
SYNTH-CRPF-01-507676,CRPF-01,deployment,2026-09-05,0.1517,days_deployed_away_from_station
SYNTH-CRPF-01-507676,CRPF-01,duty_roster,2026-09-05,0.5259,consecutive_duty_days
SYNTH-CRPF-01-507676,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-507676,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-507676,CRPF-01,workload,2026-09-05,0.5487,duty_hours_over_establishment
SYNTH-CRPF-01-507676,CRPF-01,self_report,2026-09-05,0.2048,instrument_score_normalised
SYNTH-CRPF-01-239213,CRPF-01,leave,2026-09-05,0.6625,leave_denied_rate
SYNTH-CRPF-01-239213,CRPF-01,deployment,2026-09-05,0.2138,days_deployed_away_from_station
SYNTH-CRPF-01-239213,CRPF-01,duty_roster,2026-09-05,0.6647,consecutive_duty_days
SYNTH-CRPF-01-239213,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-239213,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-239213,CRPF-01,workload,2026-09-05,0.6479,duty_hours_over_establishment
SYNTH-CRPF-01-239213,CRPF-01,self_report,2026-09-05,0.4572,instrument_score_normalised
SYNTH-CRPF-01-239213,CRPF-01,biometric,2026-09-05,0.402,resting_heart_rate_trend
SYNTH-CRPF-01-552876,CRPF-01,leave,2026-09-05,0.7381,leave_denied_rate
SYNTH-CRPF-01-552876,CRPF-01,deployment,2026-09-05,0.2571,days_deployed_away_from_station
SYNTH-CRPF-01-552876,CRPF-01,duty_roster,2026-09-05,0.656,consecutive_duty_days
SYNTH-CRPF-01-552876,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-552876,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-552876,CRPF-01,workload,2026-09-05,0.6766,duty_hours_over_establishment
SYNTH-CRPF-01-552876,CRPF-01,self_report,2026-09-05,0.3248,instrument_score_normalised
SYNTH-CRPF-01-552876,CRPF-01,biometric,2026-09-05,0.1919,resting_heart_rate_trend
SYNTH-CRPF-01-582851,CRPF-01,leave,2026-09-05,0.5642,leave_denied_rate
SYNTH-CRPF-01-582851,CRPF-01,deployment,2026-09-05,0.2588,days_deployed_away_from_station
SYNTH-CRPF-01-582851,CRPF-01,duty_roster,2026-09-05,0.7103,consecutive_duty_days
SYNTH-CRPF-01-582851,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-582851,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-582851,CRPF-01,workload,2026-09-05,0.7873,duty_hours_over_establishment
SYNTH-CRPF-01-719618,CRPF-01,leave,2026-09-05,0.3685,leave_denied_rate
SYNTH-CRPF-01-719618,CRPF-01,deployment,2026-09-05,0.1454,days_deployed_away_from_station
SYNTH-CRPF-01-719618,CRPF-01,duty_roster,2026-09-05,0.3821,consecutive_duty_days
SYNTH-CRPF-01-719618,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-719618,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-719618,CRPF-01,workload,2026-09-05,0.543,duty_hours_over_establishment
SYNTH-CRPF-01-719618,CRPF-01,biometric,2026-09-05,0.6303,resting_heart_rate_trend
SYNTH-CRPF-01-451473,CRPF-01,leave,2026-09-05,0.8198,leave_denied_rate
SYNTH-CRPF-01-451473,CRPF-01,deployment,2026-09-05,0.2688,days_deployed_away_from_station
SYNTH-CRPF-01-451473,CRPF-01,duty_roster,2026-09-05,0.5066,consecutive_duty_days
SYNTH-CRPF-01-451473,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-451473,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-451473,CRPF-01,workload,2026-09-05,0.8329,duty_hours_over_establishment
SYNTH-CRPF-01-451473,CRPF-01,self_report,2026-09-05,0.0917,instrument_score_normalised
SYNTH-CRPF-01-873879,CRPF-01,leave,2026-09-05,0.4339,leave_denied_rate
SYNTH-CRPF-01-873879,CRPF-01,deployment,2026-09-05,0.1516,days_deployed_away_from_station
SYNTH-CRPF-01-873879,CRPF-01,duty_roster,2026-09-05,0.4447,consecutive_duty_days
SYNTH-CRPF-01-873879,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-873879,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-873879,CRPF-01,workload,2026-09-05,0.4266,duty_hours_over_establishment
SYNTH-CRPF-01-873879,CRPF-01,self_report,2026-09-05,0.4269,instrument_score_normalised
SYNTH-CRPF-01-873879,CRPF-01,biometric,2026-09-05,0.2977,resting_heart_rate_trend
SYNTH-CRPF-01-362120,CRPF-01,leave,2026-09-05,0.5934,leave_denied_rate
SYNTH-CRPF-01-362120,CRPF-01,deployment,2026-09-05,0.318,days_deployed_away_from_station
SYNTH-CRPF-01-362120,CRPF-01,duty_roster,2026-09-05,0.6324,consecutive_duty_days
SYNTH-CRPF-01-362120,CRPF-01,transfer,2026-09-05,0.75,postings_in_trailing_year
SYNTH-CRPF-01-362120,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-362120,CRPF-01,workload,2026-09-05,0.787,duty_hours_over_establishment
SYNTH-CRPF-01-736301,CRPF-01,leave,2026-09-05,0.5312,leave_denied_rate
SYNTH-CRPF-01-736301,CRPF-01,deployment,2026-09-05,0.2522,days_deployed_away_from_station
SYNTH-CRPF-01-736301,CRPF-01,duty_roster,2026-09-05,0.6991,consecutive_duty_days
SYNTH-CRPF-01-736301,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-736301,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-736301,CRPF-01,workload,2026-09-05,0.7535,duty_hours_over_establishment
SYNTH-CRPF-01-736301,CRPF-01,self_report,2026-09-05,0.2698,instrument_score_normalised
SYNTH-CRPF-01-736301,CRPF-01,biometric,2026-09-05,0.199,resting_heart_rate_trend
SYNTH-CRPF-01-128836,CRPF-01,leave,2026-09-05,0.5257,leave_denied_rate
SYNTH-CRPF-01-128836,CRPF-01,deployment,2026-09-05,0.2215,days_deployed_away_from_station
SYNTH-CRPF-01-128836,CRPF-01,duty_roster,2026-09-05,0.5118,consecutive_duty_days
SYNTH-CRPF-01-128836,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-128836,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-128836,CRPF-01,workload,2026-09-05,0.7053,duty_hours_over_establishment
SYNTH-CRPF-01-128836,CRPF-01,biometric,2026-09-05,0.2647,resting_heart_rate_trend
SYNTH-CRPF-01-445316,CRPF-01,leave,2026-09-05,0.7049,leave_denied_rate
SYNTH-CRPF-01-445316,CRPF-01,deployment,2026-09-05,0.2092,days_deployed_away_from_station
SYNTH-CRPF-01-445316,CRPF-01,duty_roster,2026-09-05,0.6718,consecutive_duty_days
SYNTH-CRPF-01-445316,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-445316,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-445316,CRPF-01,workload,2026-09-05,0.5302,duty_hours_over_establishment
SYNTH-CRPF-01-445316,CRPF-01,self_report,2026-09-05,0.5332,instrument_score_normalised
SYNTH-CRPF-01-669793,CRPF-01,leave,2026-09-05,0.6385,leave_denied_rate
SYNTH-CRPF-01-669793,CRPF-01,deployment,2026-09-05,0.1716,days_deployed_away_from_station
SYNTH-CRPF-01-669793,CRPF-01,duty_roster,2026-09-05,0.8057,consecutive_duty_days
SYNTH-CRPF-01-669793,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-669793,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-669793,CRPF-01,workload,2026-09-05,0.6854,duty_hours_over_establishment
SYNTH-CRPF-01-669793,CRPF-01,self_report,2026-09-05,0.3827,instrument_score_normalised
SYNTH-CRPF-01-367039,CRPF-01,leave,2026-09-05,0.5041,leave_denied_rate
SYNTH-CRPF-01-367039,CRPF-01,deployment,2026-09-05,0.1468,days_deployed_away_from_station
SYNTH-CRPF-01-367039,CRPF-01,duty_roster,2026-09-05,0.4347,consecutive_duty_days
SYNTH-CRPF-01-367039,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-367039,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-367039,CRPF-01,workload,2026-09-05,0.7403,duty_hours_over_establishment
SYNTH-CRPF-01-117930,CRPF-01,leave,2026-09-05,0.4866,leave_denied_rate
SYNTH-CRPF-01-117930,CRPF-01,deployment,2026-09-05,0.232,days_deployed_away_from_station
SYNTH-CRPF-01-117930,CRPF-01,duty_roster,2026-09-05,0.7582,consecutive_duty_days
SYNTH-CRPF-01-117930,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-117930,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-117930,CRPF-01,workload,2026-09-05,0.5887,duty_hours_over_establishment
SYNTH-CRPF-01-655590,CRPF-01,leave,2026-09-05,0.4882,leave_denied_rate
SYNTH-CRPF-01-655590,CRPF-01,deployment,2026-09-05,0.2299,days_deployed_away_from_station
SYNTH-CRPF-01-655590,CRPF-01,duty_roster,2026-09-05,0.7288,consecutive_duty_days
SYNTH-CRPF-01-655590,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-655590,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-655590,CRPF-01,workload,2026-09-05,0.7604,duty_hours_over_establishment
SYNTH-CRPF-01-655590,CRPF-01,self_report,2026-09-05,0.3863,instrument_score_normalised
SYNTH-CRPF-01-655590,CRPF-01,biometric,2026-09-05,0.2829,resting_heart_rate_trend
SYNTH-CRPF-01-307014,CRPF-01,leave,2026-09-05,0.7017,leave_denied_rate
SYNTH-CRPF-01-307014,CRPF-01,deployment,2026-09-05,0.2602,days_deployed_away_from_station
SYNTH-CRPF-01-307014,CRPF-01,duty_roster,2026-09-05,0.7254,consecutive_duty_days
SYNTH-CRPF-01-307014,CRPF-01,transfer,2026-09-05,0.75,postings_in_trailing_year
SYNTH-CRPF-01-307014,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-307014,CRPF-01,workload,2026-09-05,0.5743,duty_hours_over_establishment
SYNTH-CRPF-01-307014,CRPF-01,self_report,2026-09-05,0.1544,instrument_score_normalised
SYNTH-CRPF-01-307014,CRPF-01,biometric,2026-09-05,0.2246,resting_heart_rate_trend
SYNTH-CRPF-01-750550,CRPF-01,leave,2026-09-05,0.5092,leave_denied_rate
SYNTH-CRPF-01-750550,CRPF-01,deployment,2026-09-05,0.2082,days_deployed_away_from_station
SYNTH-CRPF-01-750550,CRPF-01,duty_roster,2026-09-05,0.4941,consecutive_duty_days
SYNTH-CRPF-01-750550,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-750550,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-750550,CRPF-01,workload,2026-09-05,0.6565,duty_hours_over_establishment
SYNTH-CRPF-01-865717,CRPF-01,leave,2026-09-05,0.5081,leave_denied_rate
SYNTH-CRPF-01-865717,CRPF-01,deployment,2026-09-05,0.1537,days_deployed_away_from_station
SYNTH-CRPF-01-865717,CRPF-01,duty_roster,2026-09-05,0.5691,consecutive_duty_days
SYNTH-CRPF-01-865717,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-865717,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-865717,CRPF-01,workload,2026-09-05,0.5155,duty_hours_over_establishment
SYNTH-CRPF-01-865717,CRPF-01,self_report,2026-09-05,0.6639,instrument_score_normalised
SYNTH-CRPF-01-515732,CRPF-01,leave,2026-09-05,0.5821,leave_denied_rate
SYNTH-CRPF-01-515732,CRPF-01,deployment,2026-09-05,0.2487,days_deployed_away_from_station
SYNTH-CRPF-01-515732,CRPF-01,duty_roster,2026-09-05,0.4478,consecutive_duty_days
SYNTH-CRPF-01-515732,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-515732,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-515732,CRPF-01,workload,2026-09-05,0.7429,duty_hours_over_establishment
SYNTH-CRPF-01-515732,CRPF-01,self_report,2026-09-05,0.4178,instrument_score_normalised
SYNTH-CRPF-01-628006,CRPF-01,leave,2026-09-05,0.5411,leave_denied_rate
SYNTH-CRPF-01-628006,CRPF-01,deployment,2026-09-05,0.1158,days_deployed_away_from_station
SYNTH-CRPF-01-628006,CRPF-01,duty_roster,2026-09-05,0.6322,consecutive_duty_days
SYNTH-CRPF-01-628006,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-628006,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-628006,CRPF-01,workload,2026-09-05,0.5947,duty_hours_over_establishment
SYNTH-CRPF-01-628006,CRPF-01,self_report,2026-09-05,0.5131,instrument_score_normalised
SYNTH-CRPF-01-628006,CRPF-01,biometric,2026-09-05,0.3755,resting_heart_rate_trend
SYNTH-CRPF-01-102589,CRPF-01,leave,2026-09-05,0.7749,leave_denied_rate
SYNTH-CRPF-01-102589,CRPF-01,deployment,2026-09-05,0.2814,days_deployed_away_from_station
SYNTH-CRPF-01-102589,CRPF-01,duty_roster,2026-09-05,0.8151,consecutive_duty_days
SYNTH-CRPF-01-102589,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-102589,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-102589,CRPF-01,workload,2026-09-05,0.5706,duty_hours_over_establishment
SYNTH-CRPF-01-102589,CRPF-01,self_report,2026-09-05,0.426,instrument_score_normalised
SYNTH-CRPF-01-188067,CRPF-01,leave,2026-09-05,0.6672,leave_denied_rate
SYNTH-CRPF-01-188067,CRPF-01,deployment,2026-09-05,0.2363,days_deployed_away_from_station
SYNTH-CRPF-01-188067,CRPF-01,duty_roster,2026-09-05,0.6045,consecutive_duty_days
SYNTH-CRPF-01-188067,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-188067,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-188067,CRPF-01,workload,2026-09-05,0.8269,duty_hours_over_establishment
SYNTH-CRPF-01-188067,CRPF-01,self_report,2026-09-05,0.3333,instrument_score_normalised
SYNTH-CRPF-01-123713,CRPF-01,leave,2026-09-05,0.6922,leave_denied_rate
SYNTH-CRPF-01-123713,CRPF-01,deployment,2026-09-05,0.2404,days_deployed_away_from_station
SYNTH-CRPF-01-123713,CRPF-01,duty_roster,2026-09-05,0.566,consecutive_duty_days
SYNTH-CRPF-01-123713,CRPF-01,transfer,2026-09-05,0.75,postings_in_trailing_year
SYNTH-CRPF-01-123713,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-123713,CRPF-01,workload,2026-09-05,0.5062,duty_hours_over_establishment
SYNTH-CRPF-01-123713,CRPF-01,self_report,2026-09-05,0.4163,instrument_score_normalised
SYNTH-CRPF-01-270345,CRPF-01,leave,2026-09-05,0.7034,leave_denied_rate
SYNTH-CRPF-01-270345,CRPF-01,deployment,2026-09-05,0.1562,days_deployed_away_from_station
SYNTH-CRPF-01-270345,CRPF-01,duty_roster,2026-09-05,0.4221,consecutive_duty_days
SYNTH-CRPF-01-270345,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-270345,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-270345,CRPF-01,workload,2026-09-05,0.6355,duty_hours_over_establishment
SYNTH-CRPF-01-270345,CRPF-01,self_report,2026-09-05,0.3387,instrument_score_normalised
SYNTH-CRPF-01-736632,CRPF-01,leave,2026-09-05,0.6635,leave_denied_rate
SYNTH-CRPF-01-736632,CRPF-01,deployment,2026-09-05,0.2445,days_deployed_away_from_station
SYNTH-CRPF-01-736632,CRPF-01,duty_roster,2026-09-05,0.8153,consecutive_duty_days
SYNTH-CRPF-01-736632,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-736632,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-736632,CRPF-01,workload,2026-09-05,0.6837,duty_hours_over_establishment
SYNTH-CRPF-01-767254,CRPF-01,leave,2026-09-05,0.6469,leave_denied_rate
SYNTH-CRPF-01-767254,CRPF-01,deployment,2026-09-05,0.2756,days_deployed_away_from_station
SYNTH-CRPF-01-767254,CRPF-01,duty_roster,2026-09-05,0.5476,consecutive_duty_days
SYNTH-CRPF-01-767254,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-767254,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-767254,CRPF-01,workload,2026-09-05,0.7344,duty_hours_over_establishment
SYNTH-CRPF-01-767254,CRPF-01,self_report,2026-09-05,0.0345,instrument_score_normalised
SYNTH-CRPF-01-767254,CRPF-01,biometric,2026-09-05,0.3226,resting_heart_rate_trend
SYNTH-CRPF-01-147693,CRPF-01,leave,2026-09-05,0.4336,leave_denied_rate
SYNTH-CRPF-01-147693,CRPF-01,deployment,2026-09-05,0.2253,days_deployed_away_from_station
SYNTH-CRPF-01-147693,CRPF-01,duty_roster,2026-09-05,0.5097,consecutive_duty_days
SYNTH-CRPF-01-147693,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-147693,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-147693,CRPF-01,workload,2026-09-05,0.7112,duty_hours_over_establishment
SYNTH-CRPF-01-621214,CRPF-01,leave,2026-09-05,0.659,leave_denied_rate
SYNTH-CRPF-01-621214,CRPF-01,deployment,2026-09-05,0.1886,days_deployed_away_from_station
SYNTH-CRPF-01-621214,CRPF-01,duty_roster,2026-09-05,0.4837,consecutive_duty_days
SYNTH-CRPF-01-621214,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-621214,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-621214,CRPF-01,workload,2026-09-05,0.6271,duty_hours_over_establishment
SYNTH-CRPF-01-621214,CRPF-01,biometric,2026-09-05,0.1345,resting_heart_rate_trend
SYNTH-CRPF-01-567283,CRPF-01,leave,2026-09-05,0.8244,leave_denied_rate
SYNTH-CRPF-01-567283,CRPF-01,deployment,2026-09-05,0.3247,days_deployed_away_from_station
SYNTH-CRPF-01-567283,CRPF-01,duty_roster,2026-09-05,0.767,consecutive_duty_days
SYNTH-CRPF-01-567283,CRPF-01,transfer,2026-09-05,0.75,postings_in_trailing_year
SYNTH-CRPF-01-567283,CRPF-01,training,2026-09-05,0.0,course_days_assigned
SYNTH-CRPF-01-567283,CRPF-01,workload,2026-09-05,0.7644,duty_hours_over_establishment
SYNTH-CRPF-01-831045,CRPF-01,leave,2026-09-05,0.5936,leave_denied_rate
SYNTH-CRPF-01-831045,CRPF-01,deployment,2026-09-05,0.2737,days_deployed_away_from_station
SYNTH-CRPF-01-831045,CRPF-01,duty_roster,2026-09-05,0.8137,consecutive_duty_days
SYNTH-CRPF-01-831045,CRPF-01,transfer,2026-09-05,0.25,postings_in_trailing_year
SYNTH-CRPF-01-831045,CRPF-01,training,2026-09-05,0.0,course_days_assigned
