leave_mean_7d,leave_mean_30d,leave_mean_90d,leave_mean_180d,deployment_mean_7d,deployment_mean_30d,deployment_mean_90d,deployment_mean_180d,duty_roster_mean_7d,duty_roster_mean_30d,duty_roster_mean_90d,duty_roster_mean_180d,transfer_mean_7d,transfer_mean_30d,transfer_mean_90d,transfer_mean_180d,training_mean_7d,training_mean_30d,training_mean_90d,training_mean_180d,workload_mean_7d,workload_mean_30d,workload_mean_90d,workload_mean_180d,self_report_mean_7d,self_report_mean_30d,self_report_mean_90d,self_report_mean_180d,biometric_mean_7d,biometric_mean_30d,biometric_mean_90d,biometric_mean_180d,voice_mean_7d,voice_mean_30d,voice_mean_90d,voice_mean_180d,leave_slope,deployment_slope,duty_roster_slope,transfer_slope,training_slope,workload_slope,self_report_slope,biometric_slope,voice_slope,age_band,deployed,rank,unit_kind,label
0.317957,0.341337,0.362406,0.394454,0.0,0.0,0.0,0.188889,0.307429,0.290673,0.265907,0.334178,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.077778,0.486,0.410357,0.410788,0.403392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.076497,-0.188889,-0.026749,0.0,-0.077778,0.082608,0.0,0.0,0.0,30-39,static,Assistant Sub-Inspector,left-wing extremism area,0
0.4742,0.346583,0.392013,0.393468,0.0,0.0,0.0,0.0,0.369414,0.352663,0.392049,0.404838,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.044444,0.33,0.382677,0.365393,0.38053,0.0,0.0,0.0,0.0,0.427786,0.353143,0.371596,0.371722,0.0,0.0,0.0,0.0,0.080732,0.0,-0.035423,0.0,-0.044444,-0.05053,0.0,0.056064,0.0,40-plus,static,Inspector,left-wing extremism area,0
0.550429,0.522627,0.457364,0.470121,0.0,0.733333,0.433333,0.216667,0.5223,0.464667,0.449842,0.428907,0.25,0.25,0.25,0.25,0.0,0.466667,0.155556,0.077778,0.411429,0.448737,0.430864,0.425982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080307,-0.216667,0.093393,0.0,-0.077778,-0.014554,0.0,0.0,0.0,under-30,static,Head Constable,group centre,0
0.450971,0.45554,0.428293,0.423552,0.0,0.0,0.0,0.2,0.291729,0.356733,0.40416,0.371259,0.25,0.25,0.25,0.25,0.0,0.0,0.033333,0.077778,0.492714,0.38202,0.42338,0.392167,0.2317,0.2317,0.280722,0.330297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027419,-0.2,-0.07953,0.0,-0.077778,0.100548,-0.098597,0.0,0.0,40-plus,static,Inspector,election duty,0
0.403729,0.458447,0.381686,0.358551,0.0722,0.0722,0.344002,0.172001,0.398571,0.38449,0.363421,0.35439,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.4302,0.440903,0.462903,0.392839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045177,-0.099801,0.044181,0.0,-0.077778,0.037361,0.0,0.0,0.0,30-39,surged,Assistant Sub-Inspector,internal security duty,0
0.298929,0.38481,0.405452,0.411995,0.0,0.0,0.233333,0.227778,0.305657,0.317593,0.407217,0.424697,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.138889,0.468529,0.399327,0.416818,0.445461,0.378157,0.39223,0.393677,0.369166,0.354629,0.37629,0.399047,0.400184,0.0,0.0,0.0,0.0,-0.113066,-0.227778,-0.11904,0.0,-0.138889,0.023068,0.008991,-0.045555,0.0,under-30,static,Constable,internal security duty,0
0.489514,0.451977,0.416043,0.426779,0.0,0.0,0.233333,0.205556,0.403271,0.455317,0.427334,0.425966,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.061111,0.4522,0.457117,0.4454,0.422155,0.0,0.0,0.0,0.0,0.390057,0.339003,0.373056,0.376811,0.0,0.0,0.0,0.0,0.062735,-0.205556,-0.022694,0.0,-0.061111,0.030045,0.0,0.013246,0.0,40-plus,static,Inspector,election duty,0
0.640186,0.660337,0.498923,0.500814,0.105,0.105,0.071167,0.185583,0.6491,0.620413,0.492924,0.450546,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5079,0.580567,0.495742,0.41438,0.4507,0.457117,0.457961,0.428621,0.418314,0.374093,0.384223,0.388044,0.0,0.0,0.0,0.0,0.139371,-0.080583,0.198554,0.0,0.0,0.09352,0.022079,0.03027,0.0,under-30,surged,Head Constable,internal security duty,0
0.389043,0.424667,0.413297,0.354689,0.0,0.566667,0.366667,0.183333,0.331686,0.32536,0.358102,0.35626,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.390929,0.35983,0.343828,0.365808,0.431,0.431,0.395149,0.365624,0.481943,0.373233,0.361279,0.359942,0.0,0.0,0.0,0.0,0.034353,-0.183333,-0.024574,0.0,0.0,0.025121,0.065376,0.122001,0.0,under-30,static,Constable,left-wing extremism area,0
0.4067,0.315493,0.318599,0.356917,0.0,0.733333,0.344444,0.172222,0.282743,0.303563,0.304757,0.333881,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.2284,0.326743,0.360691,0.385286,0.2776,0.2776,0.319258,0.340589,0.356143,0.332593,0.334256,0.324024,0.0,0.0,0.0,0.0,0.049783,-0.172222,-0.051138,0.0,0.0,-0.156886,-0.062989,0.032119,0.0,40-plus,static,Inspector,group centre,0
0.5097,0.396533,0.417502,0.436259,0.0,0.0,0.0,0.072222,0.5036,0.544103,0.498204,0.474616,0.75,0.75,0.75,0.75,0.0,0.2,0.155556,0.155556,0.3301,0.423307,0.421909,0.430088,0.3064,0.465237,0.524257,0.544225,0.417786,0.405213,0.403499,0.405952,0.0,0.0,0.0,0.0,0.073441,-0.072222,0.028984,0.0,-0.155556,-0.099988,-0.237825,0.011834,0.0,40-plus,static,Inspector,internal security duty,0
0.421343,0.341517,0.382512,0.363204,0.0,0.0,0.0,0.0,0.3197,0.324717,0.352678,0.338027,0.25,0.25,0.25,0.25,0.142857,0.466667,0.155556,0.155556,0.320729,0.349173,0.33713,0.345752,0.2902,0.2902,0.2902,0.282918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058138,0.0,-0.018327,0.0,-0.012698,-0.025024,0.007282,0.0,0.0,40-plus,static,Inspector,election duty,0
0.3512,0.337847,0.415222,0.447844,0.0,0.0,0.433333,0.216667,0.356,0.465403,0.441157,0.420431,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.4112,0.434227,0.471473,0.44731,0.4804,0.43065,0.4242,0.490287,0.429514,0.36473,0.394352,0.391471,0.0,0.0,0.0,0.0,-0.096644,-0.216667,-0.064431,0.0,0.0,-0.03611,-0.009887,0.038044,0.0,40-plus,static,Assistant Commandant,internal security duty,0
0.7749,0.692237,0.580083,0.486406,0.2814,0.688607,0.470182,0.235091,0.781129,0.70602,0.588446,0.479584,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.727171,0.74223,0.593179,0.477769,0.426,0.336133,0.306178,0.332825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288494,0.046309,0.301545,0.0,-0.077778,0.249402,0.093175,0.0,0.0,40-plus,surged,Inspector,internal security duty,0
0.2376,0.380133,0.4229,0.425903,0.0,0.0,0.0,0.044444,0.336629,0.396347,0.399047,0.407718,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5735,0.460957,0.433499,0.441218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.188303,-0.044444,-0.07109,0.0,0.0,0.132282,0.0,0.0,0.0,40-plus,static,Inspector,law and order deployment,0
0.388543,0.374087,0.35148,0.419365,0.0,0.0,0.0,0.227778,0.4808,0.444003,0.382278,0.411912,0.25,0.25,0.25,0.25,0.0,0.0,0.155556,0.077778,0.562586,0.40824,0.433927,0.431212,0.0,0.0,0.0,0.0,0.556557,0.4217,0.431238,0.424218,0.0,0.0,0.0,0.0,-0.030822,-0.227778,0.068888,0.0,-0.077778,0.131373,0.0,0.132339,0.0,40-plus,static,Assistant Commandant,internal security duty,0
0.225786,0.409667,0.446954,0.428049,0.0,0.0,0.411111,0.222222,0.5063,0.499813,0.486412,0.451798,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.3411,0.47089,0.452251,0.426395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.202263,-0.222222,0.054502,0.0,-0.077778,-0.085295,0.0,0.0,0.0,30-39,static,Assistant Sub-Inspector,internal security duty,0
0.207086,0.31662,0.368293,0.351348,0.0,0.0,0.077778,0.166667,0.4465,0.42394,0.39189,0.347975,0.25,0.25,0.25,0.25,0.0,0.0,0.055556,0.077778,0.407514,0.307657,0.319859,0.319585,0.1645,0.25366,0.293287,0.298361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.144262,-0.166667,0.098525,0.0,-0.077778,0.087929,-0.133861,0.0,0.0,30-39,static,Assistant Sub-Inspector,group centre,0
0.4264,0.38963,0.400479,0.420488,0.0,0.0,0.0,0.205556,0.316357,0.30746,0.358659,0.353246,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3345,0.34783,0.390058,0.412503,0.5022,0.45831,0.454497,0.472124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005912,-0.205556,-0.036889,0.0,0.0,-0.078003,0.030076,0.0,0.0,under-30,static,Head Constable,internal security duty,0
0.310371,0.319653,0.356262,0.375823,0.0,0.0,0.366667,0.188889,0.4289,0.442243,0.407149,0.392486,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.412471,0.323583,0.371216,0.341849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.065452,-0.188889,0.036414,0.0,0.0,0.070623,0.0,0.0,0.0,under-30,static,Head Constable,law and order deployment,0
0.403671,0.273727,0.381692,0.350163,0.0,0.0,0.244444,0.188889,0.475386,0.369923,0.330974,0.358824,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.447,0.31734,0.300714,0.316127,0.286286,0.5107,0.488087,0.488087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053508,-0.188889,0.116562,0.0,0.0,0.130873,-0.201802,0.0,0.0,30-39,static,Assistant Sub-Inspector,election duty,0
0.6092,0.55426,0.564277,0.484197,0.1682,0.41774,0.465207,0.232603,0.625386,0.575163,0.533806,0.477482,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.490171,0.49953,0.531254,0.494588,0.4802,0.4802,0.4802,0.471162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125003,-0.064403,0.147903,0.0,-0.077778,-0.004416,0.009038,0.0,0.0,30-39,surged,Assistant Sub-Inspector,internal security duty,0
0.293586,0.33674,0.421079,0.389987,0.0,0.0,0.3,0.205556,0.498271,0.401693,0.392424,0.40918,0.25,0.25,0.25,0.25,0.0,0.0,0.155556,0.155556,0.5419,0.5365,0.46389,0.453433,0.0,0.0,0.0,0.0,0.347386,0.38308,0.374903,0.378754,0.0,0.0,0.0,0.0,-0.096402,-0.205556,0.089091,0.0,-0.155556,0.088467,0.0,-0.031369,0.0,40-plus,static,Inspector,law and order deployment,0
0.326614,0.406243,0.389737,0.399973,0.0,0.0,0.0,0.0,0.402186,0.355147,0.355104,0.351273,0.75,0.75,0.75,0.75,0.0,0.066667,0.155556,0.155556,0.3091,0.361013,0.3598,0.345427,0.2267,0.27498,0.324802,0.389251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.073358,0.0,0.050912,0.0,-0.155556,-0.036327,-0.162551,0.0,0.0,40-plus,static,Assistant Commandant,group centre,0
0.369686,0.489577,0.450849,0.450622,0.0,0.266667,0.611111,0.305556,0.368786,0.416537,0.47019,0.479646,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.077778,0.4673,0.474817,0.438323,0.460243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.080937,-0.305556,-0.11086,0.0,-0.077778,0.007057,0.0,0.0,0.0,under-30,static,Constable,law and order deployment,0
0.452243,0.426023,0.434718,0.412658,0.0,0.0,0.0,0.05,0.337529,0.334507,0.37076,0.360031,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.376986,0.38144,0.35054,0.361949,0.0,0.0,0.0,0.0,0.383743,0.3665,0.362814,0.357738,0.0,0.0,0.0,0.0,0.039585,-0.05,-0.022502,0.0,0.0,0.015036,0.0,0.026005,0.0,under-30,static,Constable,election duty,0
0.3567,0.34402,0.352409,0.388513,0.0,0.0,0.0,0.111111,0.437386,0.322417,0.319643,0.341906,0.25,0.25,0.25,0.25,0.0,0.0,0.155556,0.077778,0.269,0.24784,0.265777,0.310395,0.3247,0.3247,0.275289,0.289233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031813,-0.111111,0.09548,0.0,-0.077778,-0.041395,0.035467,0.0,0.0,under-30,static,Constable,internal security duty,0
0.330643,0.455673,0.457616,0.439718,0.0,0.133333,0.444444,0.222222,0.5429,0.48912,0.392271,0.441436,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.077778,0.5576,0.399817,0.44953,0.448327,0.6245,0.6245,0.404436,0.284168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.109075,-0.222222,0.101464,0.0,-0.077778,0.109273,0.340332,0.0,0.0,40-plus,static,Inspector,law and order deployment,0
0.307543,0.265527,0.31834,0.327121,0.0,0.0,0.0,0.0,0.399286,0.368437,0.36412,0.335003,0.25,0.25,0.25,0.25,0.0,0.0,0.111111,0.077778,0.302743,0.33492,0.348037,0.350857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019578,0.0,0.064283,0.0,-0.077778,-0.048114,0.0,0.0,0.0,under-30,static,Constable,left-wing extremism area,0
0.445529,0.383823,0.354591,0.374021,0.0,0.0,0.0,0.122222,0.543671,0.40857,0.38991,0.401101,0.25,0.25,0.25,0.25,0.0,0.466667,0.155556,0.077778,0.434129,0.388623,0.357384,0.364103,0.4002,0.4002,0.4002,0.39355,0.423786,0.371643,0.38889,0.395632,0.0,0.0,0.0,0.0,0.071507,-0.122222,0.14257,0.0,-0.077778,0.070025,0.00665,0.028154,0.0,40-plus,static,Assistant Commandant,group centre,0
0.5609,0.440817,0.463973,0.409906,0.0,0.0,0.422222,0.211111,0.2712,0.405517,0.394163,0.390315,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.155556,0.401271,0.415217,0.433606,0.444244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150994,-0.211111,-0.119115,0.0,-0.155556,-0.042973,0.0,0.0,0.0,30-39,static,Assistant Sub-Inspector,left-wing extremism area,0
0.257929,0.304703,0.325246,0.333251,0.0,0.433333,0.366667,0.183333,0.4987,0.452727,0.391372,0.387613,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.4323,0.40281,0.33776,0.343601,0.3147,0.32729,0.30675,0.402881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075323,-0.183333,0.111087,0.0,0.0,0.088699,-0.088181,0.0,0.0,40-plus,static,Assistant Commandant,left-wing extremism area,0
0.322543,0.372367,0.369119,0.377609,0.0,0.0,0.0,0.0,0.336486,0.398887,0.402438,0.401204,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.2559,0.368273,0.342222,0.383393,0.436,0.436,0.437983,0.449742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055067,0.0,-0.064719,0.0,-0.077778,-0.127493,-0.013742,0.0,0.0,40-plus,static,Inspector,group centre,0
0.3437,0.33534,0.312389,0.325187,0.285714,0.833333,0.333333,0.166667,0.450957,0.36975,0.358381,0.365132,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.449971,0.42562,0.406502,0.387221,0.0,0.0,0.0,0.0,0.4467,0.352013,0.343489,0.335992,0.0,0.0,0.0,0.0,0.018513,0.119048,0.085825,0.0,-0.077778,0.06275,0.0,0.110708,0.0,30-39,static,Assistant Sub-Inspector,election duty,0
0.447629,0.447393,0.405376,0.388577,0.0,0.0,0.4,0.2,0.4649,0.44985,0.402072,0.360442,0.25,0.25,0.25,0.25,0.0,0.0,0.066667,0.077778,0.475457,0.434473,0.403656,0.402512,0.0,0.0,0.0,0.0,0.402171,0.34637,0.368958,0.371283,0.0,0.0,0.0,0.0,0.059052,-0.2,0.104458,0.0,-0.077778,0.072945,0.0,0.030888,0.0,30-39,static,Sub-Inspector,election duty,0
0.454514,0.37168,0.417653,0.400964,0.0,0.0,0.377778,0.188889,0.277943,0.39652,0.411389,0.418021,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.4729,0.32266,0.389597,0.38368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05355,-0.188889,-0.140078,0.0,-0.077778,0.08922,0.0,0.0,0.0,40-plus,static,Inspector,group centre,0
0.272986,0.280033,0.27186,0.273608,0.0,0.0,0.0,0.0,0.335743,0.325933,0.294092,0.306333,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.4726,0.36385,0.338637,0.341093,0.348757,0.27956,0.26552,0.262352,0.303557,0.306953,0.32325,0.323166,0.0,0.0,0.0,0.0,-0.000622,0.0,0.02941,0.0,0.0,0.131507,0.086405,-0.019608,0.0,40-plus,static,Assistant Commandant,left-wing extremism area,0
0.695886,0.719453,0.616299,0.525778,0.2933,0.2933,0.198792,0.332729,0.6612,0.80234,0.680073,0.569143,0.25,0.25,0.25,0.25,0.0,0.0,0.155556,0.077778,0.8939,0.855513,0.693681,0.605073,0.477686,0.529447,0.500304,0.549752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170107,-0.039429,0.092057,0.0,-0.077778,0.288827,-0.072067,0.0,0.0,under-30,surged,Constable,internal security duty,0
0.346057,0.38262,0.364068,0.369472,0.0,0.0,0.0,0.0,0.4222,0.41984,0.30998,0.335395,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.313929,0.269517,0.371179,0.374602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023415,0.0,0.086805,0.0,0.0,-0.060673,0.0,0.0,0.0,under-30,static,Constable,election duty,0
0.246671,0.36362,0.391239,0.381753,0.0,0.0,0.0,0.188889,0.3442,0.326043,0.374083,0.368288,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.077778,0.3345,0.370527,0.413289,0.371759,0.2983,0.2983,0.2983,0.305667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.135081,-0.188889,-0.024088,0.0,-0.077778,-0.037259,-0.007367,0.0,0.0,30-39,static,Assistant Sub-Inspector,law and order deployment,0
0.2907,0.322937,0.373059,0.336724,0.0,0.433333,0.366667,0.183333,0.272729,0.402293,0.413812,0.393059,0.25,0.25,0.25,0.25,0.0,0.0,0.266667,0.155556,0.3017,0.321333,0.357403,0.385634,0.3192,0.3192,0.3275,0.34295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046024,-0.183333,-0.12033,0.0,-0.155556,-0.083934,-0.02375,0.0,0.0,40-plus,static,Inspector,left-wing extremism area,0
0.566386,0.678557,0.626174,0.51908,0.2552,0.2552,0.172969,0.29204,0.5502,0.613837,0.606077,0.538831,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.7632,0.701,0.592946,0.522326,0.4178,0.4178,0.389237,0.368518,0.347686,0.34326,0.376339,0.372867,0.0,0.0,0.0,0.0,0.047306,-0.03684,0.011369,0.0,0.0,0.240874,0.049282,-0.025181,0.0,under-30,surged,Head Constable,internal security duty,0
0.542857,0.559377,0.542086,0.454672,0.2574,0.2574,0.17446,0.259452,0.768829,0.63471,0.496198,0.426026,0.75,0.75,0.75,0.75,0.0,0.0,0.155556,0.077778,0.592286,0.560647,0.533958,0.454522,0.351886,0.472417,0.316317,0.257758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088185,-0.002052,0.342803,0.0,-0.077778,0.137764,0.094127,0.0,0.0,under-30,surged,Constable,internal security duty,0
0.3885,0.45876,0.439667,0.383727,0.0871,0.0871,0.059034,0.029517,0.494186,0.48483,0.468094,0.433699,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.531186,0.575183,0.47152,0.407623,0.1865,0.1865,0.242183,0.244818,0.340414,0.28938,0.347209,0.353191,0.0,0.0,0.0,0.0,0.004773,0.057583,0.060486,0.0,0.0,0.123563,-0.058318,-0.012776,0.0,40-plus,surged,Assistant Commandant,internal security duty,0
0.411443,0.388967,0.429788,0.443531,0.0,0.0,0.0,0.25,0.6041,0.55112,0.491528,0.513657,0.25,0.25,0.25,0.25,0.0,0.0,0.155556,0.077778,0.583914,0.446817,0.484613,0.481642,0.3498,0.3498,0.370003,0.450609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032088,-0.25,0.090443,0.0,-0.077778,0.102272,-0.100809,0.0,0.0,under-30,static,Constable,law and order deployment,1
0.518929,0.512133,0.476556,0.476945,0.0,0.0,0.444444,0.222222,0.371771,0.44553,0.455879,0.453387,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.2854,0.374063,0.399611,0.439081,0.3876,0.3876,0.3876,0.386435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041984,-0.222222,-0.081615,0.0,0.0,-0.153681,0.001165,0.0,0.0,30-39,static,Assistant Sub-Inspector,election duty,0
0.307786,0.35475,0.354434,0.372042,0.0,0.0,0.222222,0.205556,0.4815,0.342583,0.360793,0.370551,0.25,0.25,0.25,0.25,0.0,0.0,0.055556,0.077778,0.438171,0.36925,0.374928,0.381467,0.0,0.0,0.0,0.0,0.322243,0.34942,0.391377,0.390977,0.0,0.0,0.0,0.0,-0.064256,-0.205556,0.110949,0.0,-0.077778,0.056704,0.0,-0.068734,0.0,30-39,static,Sub-Inspector,left-wing extremism area,0
