service_number,unit_id,unit_posting,service,rank,age,years_of_service,surge_exposure,latent_strain,label_positive
SYNTH-CRPF-02-121608,CRPF-02,left-wing extremism area,crpf,Inspector,47,24,0.3871,0.535568,0
SYNTH-CRPF-02-286210,CRPF-02,left-wing extremism area,crpf,Inspector,44,21,0.6536,0.343216,0
SYNTH-CRPF-02-669780,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,48,26,0.7557,0.098413,0
SYNTH-CRPF-02-834387,CRPF-02,left-wing extremism area,crpf,Inspector,43,21,0.8501,0.030151,0
SYNTH-CRPF-02-411604,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,50,28,0.4414,0.318585,0
SYNTH-CRPF-02-885542,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,41,19,0.5107,0.163151,0
SYNTH-CRPF-02-427317,CRPF-02,left-wing extremism area,crpf,Constable,24,4,0.636,0.185157,0
SYNTH-CRPF-02-875772,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,31,11,0.9021,0.344593,0
SYNTH-CRPF-02-686807,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,27,0.7072,0.153387,0
SYNTH-CRPF-02-811029,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,50,28,0.3772,0.123312,0
SYNTH-CRPF-02-578970,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,46,25,0.5041,0.15553,0
SYNTH-CRPF-02-899264,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,36,13,0.4136,0.358991,0
SYNTH-CRPF-02-262322,CRPF-02,left-wing extremism area,crpf,Constable,21,1,0.9426,0.283642,0
SYNTH-CRPF-02-814594,CRPF-02,left-wing extremism area,crpf,Inspector,45,23,0.9737,0.064143,0
SYNTH-CRPF-02-144854,CRPF-02,left-wing extremism area,crpf,Inspector,44,20,0.8272,0.231798,0
SYNTH-CRPF-02-314995,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,37,13,0.9509,0.100449,0
SYNTH-CRPF-02-112879,CRPF-02,left-wing extremism area,crpf,Inspector,44,21,0.4781,0.242719,0
SYNTH-CRPF-02-837976,CRPF-02,left-wing extremism area,crpf,Inspector,43,21,0.9114,0.423323,0
SYNTH-CRPF-02-941792,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,41,19,0.8561,0.352677,0
SYNTH-CRPF-02-811748,CRPF-02,left-wing extremism area,crpf,Head Constable,33,9,0.8711,0.388498,0
SYNTH-CRPF-02-233273,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,28,0.6037,0.061119,0
SYNTH-CRPF-02-869928,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,33,11,0.2064,0.121124,0
SYNTH-CRPF-02-984838,CRPF-02,left-wing extremism area,crpf,Inspector,43,22,0.6282,0.203235,0
SYNTH-CRPF-02-307254,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,37,13,0.623,0.026684,0
SYNTH-CRPF-02-282035,CRPF-02,left-wing extremism area,crpf,Head Constable,31,8,0.5327,0.230266,0
SYNTH-CRPF-02-170131,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,34,13,0.6252,0.099549,0
SYNTH-CRPF-02-454665,CRPF-02,left-wing extremism area,crpf,Constable,24,3,0.8574,0.418443,0
SYNTH-CRPF-02-614034,CRPF-02,left-wing extremism area,crpf,Constable,24,2,0.453,0.273109,0
SYNTH-CRPF-02-849301,CRPF-02,left-wing extremism area,crpf,Inspector,43,21,0.9654,0.14253,0
SYNTH-CRPF-02-231950,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,40,19,0.7345,0.089072,0
SYNTH-CRPF-02-299529,CRPF-02,left-wing extremism area,crpf,Head Constable,32,8,0.7445,0.151768,0
SYNTH-CRPF-02-929844,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,50,26,0.4631,0.247472,0
SYNTH-CRPF-02-773479,CRPF-02,left-wing extremism area,crpf,Constable,25,1,0.7769,0.273008,0
SYNTH-CRPF-02-119979,CRPF-02,left-wing extremism area,crpf,Head Constable,29,6,0.8627,0.240839,0
SYNTH-CRPF-02-402076,CRPF-02,left-wing extremism area,crpf,Inspector,45,24,0.6766,0.441995,0
SYNTH-CRPF-02-606685,CRPF-02,left-wing extremism area,crpf,Inspector,44,23,0.5458,0.572162,1
SYNTH-CRPF-02-698051,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,47,26,0.5463,0.460273,0
SYNTH-CRPF-02-660762,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,32,11,0.6589,0.373182,0
SYNTH-CRPF-02-429203,CRPF-02,left-wing extremism area,crpf,Constable,28,4,0.831,0.039132,0
SYNTH-CRPF-02-184189,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,48,26,0.5409,0.243535,0
SYNTH-CRPF-02-314519,CRPF-02,left-wing extremism area,crpf,Constable,26,3,0.5474,0.183527,0
SYNTH-CRPF-02-318387,CRPF-02,left-wing extremism area,crpf,Constable,24,2,0.5104,0.313547,0
SYNTH-CRPF-02-569561,CRPF-02,left-wing extremism area,crpf,Inspector,45,22,0.7653,0.173083,0
SYNTH-CRPF-02-140985,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,32,11,0.6195,0.038256,0
SYNTH-CRPF-02-967106,CRPF-02,left-wing extremism area,crpf,Inspector,45,24,0.7568,0.249801,0
SYNTH-CRPF-02-964137,CRPF-02,left-wing extremism area,crpf,Constable,23,1,0.3923,0.272282,0
SYNTH-CRPF-02-914838,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,39,19,0.5501,0.214919,0
SYNTH-CRPF-02-682669,CRPF-02,left-wing extremism area,crpf,Constable,25,3,0.99,0.101361,0
SYNTH-CRPF-02-803630,CRPF-02,left-wing extremism area,crpf,Inspector,47,23,0.8351,0.417485,0
SYNTH-CRPF-02-895316,CRPF-02,left-wing extremism area,crpf,Head Constable,29,7,0.6725,0.204953,0
SYNTH-CRPF-02-364953,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,39,17,0.786,0.328878,0
SYNTH-CRPF-02-195934,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,26,0.8445,0.158629,0
SYNTH-CRPF-02-183965,CRPF-02,left-wing extremism area,crpf,Constable,22,1,0.8087,0.46428,0
SYNTH-CRPF-02-538073,CRPF-02,left-wing extremism area,crpf,Inspector,44,24,0.7295,0.018132,0
SYNTH-CRPF-02-740368,CRPF-02,left-wing extremism area,crpf,Inspector,44,20,0.4183,0.245718,0
SYNTH-CRPF-02-411884,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,39,15,0.8009,0.159169,0
SYNTH-CRPF-02-106079,CRPF-02,left-wing extremism area,crpf,Inspector,44,23,0.8717,0.325163,0
SYNTH-CRPF-02-525001,CRPF-02,left-wing extremism area,crpf,Head Constable,30,7,0.4801,0.232136,0
SYNTH-CRPF-02-436084,CRPF-02,left-wing extremism area,crpf,Head Constable,31,9,0.702,0.24373,0
SYNTH-CRPF-02-751816,CRPF-02,left-wing extremism area,crpf,Constable,27,3,0.2857,0.076505,0
SYNTH-CRPF-02-318665,CRPF-02,left-wing extremism area,crpf,Inspector,48,24,0.6452,0.451176,0
SYNTH-CRPF-02-317252,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,38,18,0.3418,0.210463,0
SYNTH-CRPF-02-981081,CRPF-02,left-wing extremism area,crpf,Inspector,43,21,0.8162,0.285334,0
SYNTH-CRPF-02-911461,CRPF-02,left-wing extremism area,crpf,Constable,23,1,0.4499,0.082345,0
SYNTH-CRPF-02-138572,CRPF-02,left-wing extremism area,crpf,Inspector,46,23,0.5745,0.431877,0
SYNTH-CRPF-02-641091,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,39,18,0.7402,0.214494,0
SYNTH-CRPF-02-807695,CRPF-02,left-wing extremism area,crpf,Head Constable,26,6,0.6719,0.348682,0
SYNTH-CRPF-02-936203,CRPF-02,left-wing extremism area,crpf,Head Constable,27,6,0.4666,0.090033,0
SYNTH-CRPF-02-411330,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,45,25,0.7181,0.323397,0
SYNTH-CRPF-02-867353,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,45,25,0.6256,0.168418,0
SYNTH-CRPF-02-922817,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,25,0.8445,0.057731,0
SYNTH-CRPF-02-983164,CRPF-02,left-wing extremism area,crpf,Head Constable,29,6,0.7741,0.489288,0
SYNTH-CRPF-02-156283,CRPF-02,left-wing extremism area,crpf,Inspector,42,22,0.7137,0.276722,0
SYNTH-CRPF-02-765672,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,41,18,0.874,0.255682,0
SYNTH-CRPF-02-565824,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,39,17,0.8676,0.436123,0
SYNTH-CRPF-02-420633,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,36,14,0.7753,0.236226,0
SYNTH-CRPF-02-314310,CRPF-02,left-wing extremism area,crpf,Inspector,41,21,0.9831,0.176043,0
SYNTH-CRPF-02-683178,CRPF-02,left-wing extremism area,crpf,Constable,26,3,0.5118,0.20142,0
SYNTH-CRPF-02-280883,CRPF-02,left-wing extremism area,crpf,Inspector,45,23,0.5707,0.303164,0
SYNTH-CRPF-02-336716,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,38,14,0.9403,0.062426,0
SYNTH-CRPF-02-664594,CRPF-02,left-wing extremism area,crpf,Constable,25,2,0.6138,0.338265,0
SYNTH-CRPF-02-573319,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,36,16,0.4067,0.099719,0
SYNTH-CRPF-02-634566,CRPF-02,left-wing extremism area,crpf,Inspector,44,23,0.6273,0.156785,0
SYNTH-CRPF-02-131556,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,49,25,0.8964,0.159819,0
SYNTH-CRPF-02-726588,CRPF-02,left-wing extremism area,crpf,Head Constable,30,9,0.1711,0.358088,0
SYNTH-CRPF-02-790009,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,48,27,0.7466,0.067449,0
SYNTH-CRPF-02-924051,CRPF-02,left-wing extremism area,crpf,Head Constable,25,5,0.9567,0.10288,0
SYNTH-CRPF-02-657647,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,35,12,0.5665,0.571891,1
SYNTH-CRPF-02-346225,CRPF-02,left-wing extremism area,crpf,Constable,26,2,0.458,0.464263,0
SYNTH-CRPF-02-762775,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,48,25,0.5047,0.22744,0
SYNTH-CRPF-02-107431,CRPF-02,left-wing extremism area,crpf,Inspector,45,23,0.5962,0.376483,0
SYNTH-CRPF-02-671267,CRPF-02,left-wing extremism area,crpf,Assistant Sub-Inspector,34,14,0.7043,0.094122,0
SYNTH-CRPF-02-183674,CRPF-02,left-wing extremism area,crpf,Inspector,44,22,0.5715,0.154565,0
SYNTH-CRPF-02-313777,CRPF-02,left-wing extremism area,crpf,Head Constable,28,8,0.7551,0.247484,0
SYNTH-CRPF-02-657875,CRPF-02,left-wing extremism area,crpf,Assistant Commandant,48,25,0.8511,0.135627,0
SYNTH-CRPF-02-518920,CRPF-02,left-wing extremism area,crpf,Constable,26,3,0.8248,0.424807,0
SYNTH-CRPF-02-193527,CRPF-02,left-wing extremism area,crpf,Sub-Inspector,41,19,0.6088,0.243811,0
